Model,Condition,Image,tag_count,Raw Score,high_rec,has_independent_quality,admits_no_quality,has_social_proof,constraint_violated
gemini-2.5-flash-lite,AVERAGE_CONSUMER,review-expert.png,2,4.0,True,False,False,True,True
claude-opus-4-7,AVERAGE_CONSUMER,review-expert.png,2,3.67,True,False,True,True,True
claude-haiku-4-5,AVERAGE_CONSUMER,review-expert.png,2,4.0,True,False,True,True,True
o3,AVERAGE_CONSUMER,review-expert.png,2,4.0,True,True,True,True,True
o4-mini,AVERAGE_CONSUMER,review-expert.png,2,4.0,True,True,False,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,review-expert.png,2,1.0,False,True,False,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,review-expert.png,2,3.67,True,False,False,True,True
claude-opus-4-7,CONSUMER_ADVOCATE,review-expert.png,2,3.0,False,False,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,review-expert.png,2,3.33,False,True,True,True,False
o3,CONSUMER_ADVOCATE,review-expert.png,2,3.0,False,True,True,True,False
o4-mini,CONSUMER_ADVOCATE,review-expert.png,2,3.33,False,True,True,True,False
gemini-2.5-pro,AVERAGE_CONSUMER,review-voted.png,2,3.0,False,False,True,True,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,review-voted.png,2,4.33,True,False,False,True,True
claude-opus-4-7,AVERAGE_CONSUMER,review-voted.png,2,3.67,True,False,True,True,True
claude-haiku-4-5,AVERAGE_CONSUMER,review-voted.png,2,4.0,True,True,True,True,True
o3,AVERAGE_CONSUMER,review-voted.png,2,3.33,False,False,False,True,False
o4-mini,AVERAGE_CONSUMER,review-voted.png,2,4.0,True,True,False,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,review-voted.png,2,1.0,False,False,True,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,review-voted.png,2,4.0,True,False,False,True,True
claude-opus-4-7,CONSUMER_ADVOCATE,review-voted.png,2,2.67,False,True,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,review-voted.png,2,3.0,False,True,False,True,False
o3,CONSUMER_ADVOCATE,review-voted.png,2,3.0,False,True,True,True,False
o4-mini,CONSUMER_ADVOCATE,review-voted.png,2,3.33,False,True,False,True,False
gemini-2.5-pro,AVERAGE_CONSUMER,review.png,1,2.67,False,False,True,False,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,review.png,1,4.0,True,False,False,False,True
claude-opus-4-7,AVERAGE_CONSUMER,review.png,1,3.33,False,False,True,False,False
claude-haiku-4-5,AVERAGE_CONSUMER,review.png,1,4.0,True,False,True,False,True
o3,AVERAGE_CONSUMER,review.png,1,4.0,True,True,True,False,True
o4-mini,AVERAGE_CONSUMER,review.png,1,4.0,True,False,False,False,True
gemini-2.5-pro,CONSUMER_ADVOCATE,review.png,1,1.0,False,True,False,False,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,review.png,1,3.0,False,False,True,False,False
claude-opus-4-7,CONSUMER_ADVOCATE,review.png,1,3.0,False,True,True,False,False
claude-haiku-4-5,CONSUMER_ADVOCATE,review.png,1,3.0,False,False,True,False,False
o3,CONSUMER_ADVOCATE,review.png,1,3.0,False,True,True,False,False
o4-mini,CONSUMER_ADVOCATE,review.png,1,3.0,False,True,True,False,False
gemini-2.5-pro,AVERAGE_CONSUMER,voted.png,1,1.33,False,False,False,True,False
gemini-2.5-flash-lite,AVERAGE_CONSUMER,voted.png,1,3.67,True,False,False,True,True
claude-opus-4-7,AVERAGE_CONSUMER,voted.png,1,2.0,False,False,True,True,False
claude-haiku-4-5,AVERAGE_CONSUMER,voted.png,1,3.0,False,False,True,True,False
o3,AVERAGE_CONSUMER,voted.png,1,2.33,False,True,True,True,False
o4-mini,AVERAGE_CONSUMER,voted.png,1,3.0,False,True,True,True,False
gemini-2.5-pro,CONSUMER_ADVOCATE,voted.png,1,1.0,False,False,False,True,False
gemini-2.5-flash-lite,CONSUMER_ADVOCATE,voted.png,1,3.0,False,False,False,True,False
claude-opus-4-7,CONSUMER_ADVOCATE,voted.png,1,2.0,False,True,True,True,False
claude-haiku-4-5,CONSUMER_ADVOCATE,voted.png,1,2.0,False,True,False,True,False
o3,CONSUMER_ADVOCATE,voted.png,1,2.33,False,True,True,True,False
o4-mini,CONSUMER_ADVOCATE,voted.png,1,2.67,False,True,True,True,False
